S.no,temperature
545,72.43833333
546,72.49333333
547,72.32833333
548,72.175
549,72.27166667
550,72.42333333
551,72.57333333
552,72.56166667
553,72.36666667
554,72.35833333
555,72.47
556,72.60333333
557,72.63666667
558,72.48833333
559,72.40166667
560,72.5
561,72.65666667
562,72.7
563,72.59666667
564,72.43833333
565,72.50666667
566,72.62666667
567,72.73666667
568,72.74666667
569,72.57666667
570,72.5
571,72.535
572,72.64666667
573,72.705
574,72.70333333
575,72.555
576,72.545
577,72.6
578,72.76666667
579,72.795
580,72.68833333
581,72.51166667
582,72.4
583,72.42666667
584,72.59166667
585,72.6
586,72.515
587,72.345
588,72.33166667
589,72.425
590,72.63833333
591,72.7
592,72.59833333
593,72.5
594,72.555
595,72.66666667
596,72.8
597,72.79833333
598,72.69333333
599,72.51333333
600,72.59333333
601,72.72833333
602,72.9
603,72.84666667
604,72.725
605,72.65166667
606,72.79166667
607,72.89333333
608,72.96333333
609,72.81833333
610,72.61333333
611,72.6
612,72.71
613,72.77666667
614,72.69166667
615,72.49
616,72.31833333
617,72.345
618,72.5
619,72.49166667
620,72.37833333
621,72.255
622,72.20166667
623,72.37166667
624,72.32
625,72.285
626,72.145
627,72.10666667
628,72.225
629,72.34166667
630,72.36
631,72.16333333
632,72
633,72.00166667
634,72.16166667
635,72.2
636,72.14833333
637,71.94333333
638,71.82833333
639,71.86833333
640,72.04166667
641,72.04166667
642,71.94333333
643,71.79333333
644,71.74333333
645,71.875
646,71.95333333
647,71.85
648,71.63666667
649,71.51
650,71.6
651,71.71833333
652,71.71833333
653,71.55333333
654,71.33333333
655,71.315
656,71.51166667
657,71.6
658,71.51333333
659,71.4
660,71.29833333
661,71.45333333
662,71.52
663,71.50666667
664,71.435
665,71.40166667
666,71.59833333
667,71.76333333
668,71.76166667
669,71.58666667
670,71.43333333
671,71.51666667
672,71.68333333
673,71.72333333
674,71.63833333
675,71.41333333
676,71.41833333
677,71.57333333
678,71.7
679,71.665
680,71.45166667
681,71.22833333
682,71.25333333
683,71.48
684,71.57333333
685,71.535
686,71.36666667
687,71.29333333
688,71.45666667
689,71.595
690,71.60666667
691,71.45833333
692,71.40833333
693,71.55
694,71.695
695,71.74166667
696,71.56833333
697,71.41333333
698,71.5
699,71.64
700,71.7
701,71.61
702,71.40166667
703,71.38333333
704,71.485
705,71.575
706,71.58833333
707,71.52166667
708,71.735
709,72
710,72.22666667
711,72.25
712,72.20333333
713,72.40333333
714,72.66833333
715,72.84333333
716,72.88
717,72.775
718,72.72833333
719,72.96
720,73.21333333
721,73.32666667
722,73.26666667
723,73.12666667
724,73.22666667
725,73.41166667
726,73.55
727,73.55666667
728,73.44666667
729,73.34333333
730,73.52833333
731,73.68333333
732,73.715
733,73.62333333
734,73.43666667
735,73.44333333
736,73.54
737,73.66166667
738,73.64333333
739,73.50166667
740,73.4
741,73.5
742,73.55
743,73.6
744,73.50166667
745,73.37166667
746,73.48333333
747,73.62833333
748,73.79666667
749,73.725
750,73.7
751,73.845
752,74.08833333
753,74.16333333
754,74.155
755,74.10166667
756,74.18333333
757,74.44833333
758,74.49666667
759,74.505
760,74.47166667
761,74.32833333
762,74.43
763,74.415
764,74.36666667
765,74.40166667
766,74.3
767,74.41833333
768,74.49666667
769,74.45666667
770,74.54166667
771,74.48333333
772,74.39333333
773,74.44
774,74.42833333
775,74.49666667
776,74.575
777,74.425
778,74.53333333
779,74.62833333
780,74.60333333
781,74.7
782,74.55166667
783,74.54833333
784,74.68666667
785,74.62
786,74.635
787,74.64166667
788,74.565
789,74.74
790,74.81333333
791,74.74666667
792,74.8
793,74.69666667
794,74.69166667
795,74.855
796,74.9
797,74.86333333
798,74.74833333
799,74.6
800,74.70166667
801,74.85
802,74.81833333
803,74.97333333
804,74.92666667
805,74.97333333
